"t";"Electricity.Co2.Emission";"Spot.price";"hour";"dayOfWeek";"workDay"
"1";2022-09-19;106.583333333333;0.624;1;"Monday";"workDay"
"2";2022-09-19;125.583333333333;0.731;2;"Monday";"workDay"
"3";2022-09-19;125.75;1.26;3;"Monday";"workDay"
"4";2022-09-19;137.5;2.565;4;"Monday";"workDay"
"5";2022-09-19;155.583333333333;2.975;5;"Monday";"workDay"
"6";2022-09-19;122.166666666667;3.089;6;"Monday";"workDay"
"7";2022-09-19;179.333333333333;2.64;7;"Monday";"workDay"
"8";2022-09-19;157.75;2.424;8;"Monday";"workDay"
"9";2022-09-19;147.166666666667;1.715;9;"Monday";"workDay"
"10";2022-09-19;137;1.419;10;"Monday";"workDay"
"11";2022-09-19;129;1.14;11;"Monday";"workDay"
"12";2022-09-19;121.916666666667;1.265;12;"Monday";"workDay"
"13";2022-09-19;109.666666666667;1.602;13;"Monday";"workDay"
"14";2022-09-19;103.75;1.697;14;"Monday";"workDay"
"15";2022-09-19;120.916666666667;2.603;15;"Monday";"workDay"
"16";2022-09-19;134.666666666667;3.03;16;"Monday";"workDay"
"17";2022-09-19;140.166666666667;3.287;17;"Monday";"workDay"
"18";2022-09-19;144.833333333333;3.124;18;"Monday";"workDay"
"19";2022-09-19;145.75;2.789;19;"Monday";"workDay"
"20";2022-09-19;147.333333333333;2.548;20;"Monday";"workDay"
"21";2022-09-19;154.333333333333;2.206;21;"Monday";"workDay"
"22";2022-09-19;149.833333333333;1.947;22;"Monday";"workDay"
"23";2022-09-19;160.333333333333;1.934;23;"Monday";"workDay"
"24";2022-09-20;NA;2.048;0;"Tuesday";"workDay"
"25";2022-09-20;158.25;NA;1;"Tuesday";"workDay"
"26";2022-09-20;116;1.934;2;"Tuesday";"workDay"
"27";2022-09-20;160.416666666667;2.07;3;"Tuesday";"workDay"
"28";2022-09-20;131.25;2.789;4;"Tuesday";"workDay"
"29";2022-09-20;137.083333333333;3.22;5;"Tuesday";"workDay"
"30";2022-09-20;194.083333333333;3.278;6;"Tuesday";"workDay"
"31";2022-09-20;206.25;2.987;7;"Tuesday";"workDay"
"32";2022-09-20;185.75;2.708;8;"Tuesday";"workDay"
"33";2022-09-20;188.666666666667;2.561;9;"Tuesday";"workDay"
"34";2022-09-20;199.416666666667;2.369;10;"Tuesday";"workDay"
"35";2022-09-20;177.416666666667;2.282;11;"Tuesday";"workDay"
"36";2022-09-20;201.583333333333;2.293;12;"Tuesday";"workDay"
"37";2022-09-20;195.416666666667;2.422;13;"Tuesday";"workDay"
"38";2022-09-20;206.833333333333;2.645;14;"Tuesday";"workDay"
"39";2022-09-20;191.333333333333;3.129;15;"Tuesday";"workDay"
"40";2022-09-20;171;3.488;16;"Tuesday";"workDay"
"41";2022-09-20;200.333333333333;4.318;17;"Tuesday";"workDay"
"42";2022-09-20;214.5;3.779;18;"Tuesday";"workDay"
"43";2022-09-20;178.5;3.197;19;"Tuesday";"workDay"
"44";2022-09-20;167.166666666667;2.887;20;"Tuesday";"workDay"
"45";2022-09-20;266.166666666667;2.631;21;"Tuesday";"workDay"
"46";2022-09-20;277.75;2.308;22;"Tuesday";"workDay"
"47";2022-09-20;275.666666666667;2.228;23;"Tuesday";"workDay"
"48";2022-09-21;NA;2.228;0;"Wednesday";"workDay"
"49";2022-09-21;277.416666666667;2.228;1;"Wednesday";"workDay"
"50";2022-09-21;280.333333333333;2.211;2;"Wednesday";"workDay"
"51";2022-09-21;271;2.535;3;"Wednesday";"workDay"
"52";2022-09-21;227.666666666667;3.175;4;"Wednesday";"workDay"
"53";2022-09-21;214.416666666667;NA;5;"Wednesday";"workDay"
"54";2022-09-21;216.75;3.924;6;"Wednesday";"workDay"
"55";2022-09-21;250.833333333333;3.191;7;"Wednesday";"workDay"
"56";2022-09-21;285;2.663;8;"Wednesday";"workDay"
"57";2022-09-21;256.5;2.392;9;"Wednesday";"workDay"
"58";2022-09-21;249.333333333333;2.219;10;"Wednesday";"workDay"
"59";2022-09-21;241.166666666667;2.248;11;"Wednesday";"workDay"
"60";2022-09-21;239.833333333333;2.316;12;"Wednesday";"workDay"
"61";2022-09-21;253.916666666667;2.468;13;"Wednesday";"workDay"
"62";2022-09-21;243.75;2.709;14;"Wednesday";"workDay"
"63";2022-09-21;213.25;3.025;15;"Wednesday";"workDay"
"64";2022-09-21;188.833333333333;3.495;16;"Wednesday";"workDay"
"65";2022-09-21;184.666666666667;4.272;17;"Wednesday";"workDay"
"66";2022-09-21;171.583333333333;3.648;18;"Wednesday";"workDay"
"67";2022-09-21;194.5;3.002;19;"Wednesday";"workDay"
"68";2022-09-21;200;2.752;20;"Wednesday";"workDay"
"69";2022-09-21;233.833333333333;2.598;21;"Wednesday";"workDay"
"70";2022-09-21;273.416666666667;2.774;22;"Wednesday";"workDay"
"71";2022-09-21;271;2.524;23;"Wednesday";"workDay"
"72";2022-09-22;NA;2.454;0;"Thursday";"workDay"
"73";2022-09-22;223.666666666667;2.312;1;"Thursday";"workDay"
"74";2022-09-22;207.75;NA;2;"Thursday";"workDay"
"75";2022-09-22;171.416666666667;2.677;3;"Thursday";"workDay"
"76";2022-09-22;198.416666666667;3.235;4;"Thursday";"workDay"
"77";2022-09-22;189;3.986;5;"Thursday";"workDay"
"78";2022-09-22;199.583333333333;3.709;6;"Thursday";"workDay"
"79";2022-09-22;209.833333333333;2.884;7;"Thursday";"workDay"
"80";2022-09-22;201.416666666667;2.483;8;"Thursday";"workDay"
"81";2022-09-22;167;2.238;9;"Thursday";"workDay"
"82";2022-09-22;192.166666666667;2.189;10;"Thursday";"workDay"
"83";2022-09-22;183.5;2.051;11;"Thursday";"workDay"
"84";2022-09-22;201.166666666667;2.142;12;"Thursday";"workDay"
"85";2022-09-22;155.5;2.312;13;"Thursday";"workDay"
"86";2022-09-22;143.25;2.803;14;"Thursday";"workDay"
"87";2022-09-22;140.333333333333;3.255;15;"Thursday";"workDay"
"88";2022-09-22;145.166666666667;3.671;16;"Thursday";"workDay"
"89";2022-09-22;141.833333333333;4.462;17;"Thursday";"workDay"
"90";2022-09-22;130.75;3.792;18;"Thursday";"workDay"
"91";2022-09-22;123.416666666667;3.111;19;"Thursday";"workDay"
"92";2022-09-22;151.583333333333;2.947;20;"Thursday";"workDay"
"93";2022-09-22;148;2.816;21;"Thursday";"workDay"
"94";2022-09-22;151.083333333333;2.622;22;"Thursday";"workDay"
"95";2022-09-22;155.5;2.381;23;"Thursday";"workDay"
"96";2022-09-23;NA;2.324;0;"Friday";"workDay"
